base_product_code,related_product_code,reason,is_mock
29011,29049,Alternativa sabor naranja Fanta para variar el menú familiar,True
29011,29045,Alternativa sabor lima-limón Sprite ideal para almorzar,True
29012,29057,Alternativa Fanta Naranja de 2.25L para almuerzos o cenas familiares,True
29012,29047,Alternativa Sprite Lima-Limón de 2.25L refrescante para compartir,True
29049,29045,"Sprite Lima-Limón de 1.5L, combinación cítrica ideal para eventos",True
29003,29006,Prueba la opción Coca-Cola Zero sin azúcar en formato individual de 500ml,True
29094,29093,Prueba Monster Energy Ultra White Zero sin azúcar para mayor energía,True
29194,29192,Agua mineral Bonaqua con gas de 500ml como complemento digestivo,True
29014,29008,Prueba la Coca-Cola Original clásica en lata individual de 220ml,True
29010,29021,Prueba Coca-Cola Light de 1.5L con menos calorías,True
29022,29023,Prueba la opción de Coca-Cola Zero en lata de 354ml sin calorías,True
29228,29230,Agua saborizada Aquarius sabor Manzana de 2.25L para variar el sabor,True
