product_code,nombre,descripcion
RV-BOMBILLA-001,Bombilla Plana 19 Cm. Acero Inox.,"Bombilla plana de 19 cm de acero inoxidable, marca Rei Verde."
RV-BOMBILLA-002,"Bombilla  Pico De Rey 17,5 Cm. Acero Inox.","Bombilla de acero inoxidable 17,5 cm, marca Pico de Rey."
RV-BOMBILLA-003,"Bombilla  Pico De Loro 19,5 Cm. Acero Inox.","Bombilla pico de loro de 19,5 cm, acero inoxidable, marca Rei Verde."
RV-BOMBILLA-004,Bombilla Plana 17 Cm. Acero Inox.,"Bombilla plana de acero inoxidable de 17 cm, apta para lavavajillas."
RV-BOMBILLA-005,Bombilla Plana 15 Cm. Acero Inox.,"Bombilla plana de 15 cm de acero inoxidable, marca Stanley."
RV-PREMIUM-007,Yerba M. Premiun Ed. Limitada X 1 Kg,"Yerba mate premium con sabor ahumado y cremoso, marca Rei Verde, bolsa de 1 kg."
RV-TERERE-001,Terere - LIMON c/ MENTA x250 Gr,"Tereré sabor limón con menta, marca Rei Verde, presentación de 250 g."
RV-TERERE-002,Terere - ANANA c/ MENTA  x250 Gr,"Yerba mate para tereré sabor ananá con menta, marca Rei Verde, 250 g."
RV-TERERE-003,Terere - NARANJA c/ MENTA x250 Gr,"Tereré sabor naranja con menta, marca Rei Verde, envase Doypack 250 g."
RV-KIT-TERERE-001,KIT Terere -   LIMON c/ MENTA x250 Gr,"Yerba mate para tereré sabor limón con menta, marca Rei Verde, 250 g."
RV-KIT-TERERE-002,KIT Terere -   ANANA c/ MENTA x250 Gr,"Yerba mate tereré con palo sabor ananá y menta, marca Rei Verde, 250 g."
RV-KIT-TERERE-003,KIT Terere -   NARANJA c/ MENTA x250 Gr,"Yerba mate tereré con palo sabor naranja y menta, marca Rei Verde, 250 g."
RV-CLASSICA-004,Yerba M. Clas. Export X 1 Kg,"Yerba mate clásica, marca Rei Verde, presentación de 1 kg en pack de 3 unidades."
RV-CLASSICA-007,Yerba M. Clas. Export X 5 Kg,"Yerba mate clásica exportación, marca Rei Verde, presentación de 5 kg."
RV-TRADICIONAL-001,Yerba M. Tradicional Export X 500 Gr.,"Yerba mate tradicional, marca Rei Verde, presentación de 500 gramos."
RV-TRADICIONAL-004,Yerba M. Tradicional Export X 1 Kg,"Yerba mate tradicional, marca Rei Verde, presentación de 1 kg."
RV-TRADICIONAL-007,Yerba M. Tradicional Export X 3 Kg,"Yerba mate tradicional, marca Rei Verde, presentación de 3 kg."
RV-PREMIUM-001,Yerba M. Premiun Export X 500 Gr.,"Yerba mate premium en bolsa de 500 gramos, marca Rei Verde."
RV-PREMIUM-004,Yerba M. Premiun Export X 1 Kg,"Yerba mate premium export, marca Rei Verde, presentación de 1 kg."
RV-PADRON-004,Yerba M. Padron Arg. Export C/ Palo X 1 Kg,"Yerba mate con palo, marca Padron Argentino, formato 1 kg."
RV-PADRON-001,Yerba M. Padron Arg. C/ Palo X 500 Gr.,"Yerba mate con palo, marca Padrón, presentación de 500 gramos."
RV-COMPUESTA-001,Yerba M. Comp. C/ Hierbas X 500 Gr.,"Yerba mate compuesta con hierbas, marca Cachamate, presentación de 500 g."
RV-ORGANICA-001,Yerba M. Org.  Export X 500 Grs,"Yerba mate orgánica export, 500 gramos, marca no especificada."
